,Nordost,Korall,Tasman,Süden,Südozean,time
195,0.22760752,0.12515482,0.12544435,0.4688826,,2009-12-13
196,0.226708,0.11732198,0.10829094,0.43120244,,2009-12-14
197,0.23603675,0.11347883,0.11016518,0.41616708,,2009-12-15
198,0.23091711,0.113322936,0.11702691,0.3556915,,2009-12-16
199,0.2347504,0.11194093,0.11142114,0.3485143,,2009-12-17
200,0.23162961,0.120734,0.109790616,0.36896366,,2009-12-18
201,0.22832446,0.12114228,0.1213066,0.35605824,,2009-12-19
202,0.2338802,0.111399345,0.12041907,0.38363248,,2009-12-20
203,0.23100463,0.108025745,0.13067739,0.35929912,,2009-12-21
204,0.24299935,0.108383745,0.13573915,0.38734797,,2009-12-22
205,0.24188496,0.109584965,0.13099787,0.37393305,,2009-12-23
206,0.23415384,0.106551364,0.1276039,0.3524876,,2009-12-24
207,0.2323316,0.10325913,0.117420204,0.38195527,,2009-12-25
208,0.21961276,0.10013665,0.11716205,0.41913933,,2009-12-26
209,0.21573915,0.10318509,0.122502945,0.4847295,,2009-12-27
210,0.21861947,0.10325652,0.117820345,0.62643135,,2009-12-28
211,0.22449419,0.09832395,0.11407652,0.48391747,,2009-12-29
212,0.22851643,0.09972863,0.10466003,0.45618275,,2009-12-30
213,0.23384093,0.10141747,0.1010309,0.44748294,,2009-12-31
