time,value,variable,station,lon,lat,region,site-id
2009-09-26 02:00:00,45.8,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 03:00:00,40.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 04:00:00,46.3,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 05:00:00,123.9,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 06:00:00,747.7,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 07:00:00,981.4,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 08:00:00,711.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 09:00:00,305.1,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 10:00:00,113.8,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 11:00:00,58.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 12:00:00,48.1,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 13:00:00,46.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 14:00:00,48.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 15:00:00,61.4,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 16:00:00,35.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 17:00:00,32.1,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 18:00:00,31.3,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 19:00:00,32.1,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 20:00:00,42.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 21:00:00,21.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 22:00:00,13.5,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-26 23:00:00,15.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-27 00:00:00,10.2,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-27 01:00:00,8.9,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-27 02:00:00,6.9,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-27 03:00:00,4.8,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-27 04:00:00,8.6,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
2009-09-27 05:00:00,8.1,PM10,RANDWICK,151.24278,-33.93175,Sydney East,33
