,Nordwest,Korall,Tasman,Süden,Südozean,Komplette Domäne,time
128,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-17 00:00:00
129,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-17 03:00:00
130,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-17 06:00:00
131,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-17 09:00:00
132,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-17 12:00:00
133,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-17 15:00:00
134,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-17 18:00:00
135,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-17 21:00:00
136,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-18 00:00:00
137,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-18 03:00:00
138,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-18 06:00:00
139,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-18 09:00:00
140,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-18 12:00:00
141,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-18 15:00:00
142,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-18 18:00:00
143,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-18 21:00:00
144,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-19 00:00:00
145,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-19 03:00:00
146,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-19 06:00:00
147,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-19 09:00:00
148,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-19 12:00:00
149,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-19 15:00:00
150,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-19 18:00:00
151,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-19 21:00:00
152,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-20 00:00:00
153,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-20 03:00:00
154,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-20 06:00:00
155,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-20 09:00:00
156,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-20 12:00:00
157,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-20 15:00:00
158,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-20 18:00:00
159,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-20 21:00:00
160,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-21 00:00:00
161,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-21 03:00:00
162,0.0,0.0,0.0,0.0,0.0,0.0,2009-06-21 06:00:00
